 sku,image_urls
55530-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55530-SS-B1.png
55531,https://media.deltafaucet.com/elvis/OnWhite/lg/55531-B1.png
55552,https://media.deltafaucet.com/elvis/OnWhite/lg/55552-B1.png
55552-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/55552-PN-B1.png
55552-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55552-SS-B1.png
55567,https://media.deltafaucet.com/elvis/OnWhite/lg/55567-B1.png
55567-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55567-SS-B1.png
56302,https://media.deltafaucet.com/elvis/OnWhite/lg/56302-B1.png
56302-PB,https://media.deltafaucet.com/elvis/OnWhite/lg/56302-PB-B1.png
56302-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/56302-RB-B1.png
56302-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/56302-SS-B1.png
56613,https://media.deltafaucet.com/elvis/OnWhite/lg/56613-B1.png
56613-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/56613-CZ-B1.png
56613-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/56613-RB-B1.png
56613-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/56613-SS-B1.png
57011,https://media.deltafaucet.com/elvis/OnWhite/lg/57011-B1.png
57014,https://media.deltafaucet.com/elvis/OnWhite/lg/57014-B1.png
57014-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/57014-CZ-B1.png
57014-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/57014-RB-B1.png
57014-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57014-SS-B1.png
57021,https://media.deltafaucet.com/elvis/OnWhite/lg/57021-B1.png
57021-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/57021-CZ-B1.png
57021-PB,https://media.deltafaucet.com/elvis/OnWhite/lg/57021-PB-B1.png
57021-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/57021-RB-B1.png
57021-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57021-SS-B1.png
57051,https://media.deltafaucet.com/elvis/OnWhite/lg/57051-B1.png
57051-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/57051-CZ-B1.png
57051-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/57051-PN-B1.png
57051-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/57051-RB-B1.png
57051-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57051-SS-B1.png
57085,https://media.deltafaucet.com/elvis/OnWhite/lg/57085-B1.png
57085-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/57085-CZ-B1.png
57085-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/57085-RB-B1.png
57085-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57085-SS-B1.png
57140,https://media.deltafaucet.com/elvis/OnWhite/lg/57140-B1.png
57140-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/57140-PN-B1.png
57140-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57140-SS-B1.png
57530,https://media.deltafaucet.com/elvis/OnWhite/lg/57530-B1.png
57530-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/57530-CZ-B1.png
57530-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/57530-RB-B1.png
57530-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/57530-SS-B1.png
